,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
4251,The Taking of Pelham 123,65452312,106,100000000,6.4,Action,160641,2009,Tony Scott,R,6/12/2009,Denzel Washington,Brian Helgeland,Columbia Pictures,3,6,0
4252,The Hangover,277322503,100,35000000,7.8,Comedy,622881,2009,Todd Phillips,R,6/5/2009,Zach Galifianakis,Jon Lucas,Warner Bros.,4,6,0
4253,Mother,547292,129,5000000,7.8,Action,31822,2009,Joon-ho Bong,R,5/28/2009,Hye-ja Kim,Joon-ho Bong,CJ Entertainment,1,5,0
4254,The Informers,300000,98,18000000,5.1,Crime,14783,2009,Gregor Jordan,R,4/24/2009,Billy Bob Thornton,Bret Easton Ellis,Senator Entertainment Co,1,4,0
4255,Surveillance,27349,97,3500000,6.4,Crime,15448,2009,Jennifer Lynch,R,4/24/2009,Julia Ormond,Kent Harper,Lago Film,1,4,0
4256,Sunshine Cleaning,12062558,91,8000000,6.9,Comedy,63616,2009,Christine Jeffs,R,4/17/2009,Amy Adams,Megan Holley,Overture Films,3,4,0
4257,Crank: High Voltage,13630226,96,20000000,6.2,Action,121567,2009,Mark Neveldine,R,4/17/2009,Jason Statham,Mark Neveldine,Lionsgate,3,4,0
4260,Observe and Report,23993605,86,18000000,5.8,Comedy,54428,2009,Jody Hill,R,4/10/2009,Seth Rogen,Jody Hill,De Line Pictures,3,4,0
4262,The Damned United,449558,98,10000000,7.6,Biography,34976,2009,Tom Hooper,R,3/27/2009,Colm Meaney,Peter Morgan,Columbia Pictures,1,3,0
4263,Two Lovers,3148482,110,12000000,7.1,Drama,31508,2009,James Gray,R,3/20/2009,Joaquin Phoenix,James Gray,2929 Productions,2,3,0
4264,"I Love You, Man",71440011,105,40000000,7.0,Comedy,174712,2009,John Hamburg,R,3/20/2009,Paul Rudd,John Hamburg,DreamWorks,3,3,0
4266,The Last House on the Left,32721635,110,15000000,6.6,Crime,72961,2009,Dennis Iliadis,R,3/13/2009,Garret Dillahunt,Adam Alleca,Rogue Pictures,3,3,0
4267,Miss March,4542775,90,6000000,5.0,Comedy,19111,2009,Zach Cregger,R,3/13/2009,Zach Cregger,Zach Cregger,Fox Atomic,2,3,0
4268,Watchmen,107509799,162,130000000,7.6,Action,419061,2009,Zack Snyder,R,3/6/2009,Jackie Earle Haley,David Hayter,Warner Bros.,4,3,0
4270,Friday the 13th,65002019,97,19000000,5.6,Horror,80586,2009,Marcus Nispel,R,2/13/2009,Jared Padalecki,Damian Shannon,New Line Cinema,3,2,0
4271,The International,25450527,118,50000000,6.5,Action,83114,2009,Tom Tykwer,R,2/13/2009,Clive Owen,Eric Warren Singer,Columbia Pictures,3,2,0
4272,Rewind,38108,92,2600000,7.2,Horror,46642,2009,Nacho Vigalondo,R,2/6/2009,Karra Elejalde,Nacho Vigalondo,Karbo Vantas Entertainment,1,2,0
4273,The Wrestler,26236603,109,6000000,7.9,Drama,263945,2009,Darren Aronofsky,R,1/30/2009,Mickey Rourke,Robert D. Siegel,Wild Bunch,3,1,0
4274,The Reader,34194407,124,32000000,7.6,Drama,202175,2009,Stephen Daldry,R,1/30/2009,Kate Winslet,David Hare,The Weinstein Company,3,1,0
4275,Milk,31841299,128,20000000,7.6,Biography,145398,2009,Gus Van Sant,R,1/30/2009,Sean Penn,Dustin Lance Black,Focus Features,3,1,0
4276,Revolutionary Road,22911480,119,35000000,7.3,Drama,162463,2009,Sam Mendes,R,1/23/2009,Leonardo DiCaprio,Justin Haythe,DreamWorks,3,1,0
4277,Frost/Nixon,18593156,122,25000000,7.7,Biography,92248,2009,Ron Howard,R,1/23/2009,Frank Langella,Peter Morgan,Universal Pictures,3,1,0
4278,Underworld: Rise of the Lycans,45802315,92,35000000,6.6,Action,132542,2009,Patrick Tatopoulos,R,1/23/2009,Rhona Mitra,Danny McBride,Sketch Films,3,1,0
4282,Defiance,28644813,137,32000000,7.2,Action,123415,2009,Edward Zwick,R,1/16/2009,Daniel Craig,Clayton Frohman,Paramount Pictures,3,1,0
4283,My Bloody Valentine,51545952,101,15000000,5.5,Horror,47784,2009,Patrick Lussier,R,1/16/2009,Jensen Ackles,Todd Farmer,Lionsgate,3,1,0
4284,Notorious,36842118,122,20000000,6.7,Biography,34791,2009,George Tillman Jr.,R,1/16/2009,Jamal Woolard,Reggie Rock Bythewood,Fox Searchlight Pictures,3,1,0
4285,Gran Torino,148095302,116,33000000,8.2,Drama,609483,2009,Clint Eastwood,R,1/9/2009,Clint Eastwood,Nick Schenk,Matten Productions,4,1,0
4286,Slumdog Millionaire,141319928,120,15000000,8.0,Drama,690202,2008,Danny Boyle,R,12/25/2008,Dev Patel,Simon Beaufoy,Warner Bros.,4,12,0
4287,Let the Right One In,2122065,115,4000000,7.9,Drama,183463,2008,Tomas Alfredson,R,12/12/2008,K�re Hedebrant,John Ajvide Lindqvist,EFTI,2,12,0
