,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
2,The Peanuts Movie,130178411,88,99000000,7.1,Animation,34889,2015,Steve Martino,G,11/6/2015,Noah Schnapp,Craig Schulz,Twentieth Century Fox Film Corporation,4,11,0
4,Rio 2,131538435,101,103000000,6.3,Animation,64550,2014,Carlos Saldanha,G,4/11/2014,Jesse Eisenberg,Don Rhymer,Twentieth Century Fox Film Corporation,4,4,0
5,Monsters University,268492764,104,200000000,7.3,Animation,258992,2013,Dan Scanlon,G,6/21/2013,Billy Crystal,Dan Scanlon,The Walt Disney Company,4,6,0
6,The Secret World of Arrietty,19202743,94,23000000,7.6,Animation,59799,2012,Hiromasa Yonebayashi,G,2/17/2012,Bridgit Mendler,Mary Norton,Studio Ghibli,3,2,0
7,Alvin and the Chipmunks: Chipwrecked,133110742,87,75000000,4.4,Animation,24939,2011,Mike Mitchell,G,12/16/2011,Justin Long,Jonathan Aibel,Fox 2000 Pictures,4,12,0
8,Winnie the Pooh,26692846,100,30000000,7.2,Animation,16941,2011,Stephen J. Anderson,G,7/15/2011,Jim Cummings,Stephen J. Anderson,The Walt Disney Company,3,7,0
9,Cars 2,191452396,106,200000000,6.2,Animation,116477,2011,John Lasseter,G,6/24/2011,Owen Wilson,John Lasseter,The Walt Disney Company,4,6,0
10,Rio,143619809,96,90000000,6.9,Animation,177152,2011,Carlos Saldanha,G,4/15/2011,Jesse Eisenberg,Carlos Saldanha,Twentieth Century Fox Film Corporation,4,4,0
11,Gnomeo & Juliet,99967670,84,36000000,6.0,Animation,45274,2011,Kelly Asbury,G,2/11/2011,James McAvoy,Rob Sprackling,Touchstone Pictures,3,2,0
12,Ramona and Beezus,26161406,100,15000000,6.7,Adventure,14808,2010,Elizabeth Allen Rosenbaum,G,7/23/2010,Joey King,Laurie Craig,Fox 2000 Pictures,3,7,0
13,Toy Story 3,415004880,103,200000000,8.3,Animation,603472,2010,Lee Unkrich,G,6/18/2010,Tom Hanks,John Lasseter,The Walt Disney Company,4,6,0
14,The Princess and the Frog,104400899,97,105000000,7.1,Animation,97887,2009,Ron Clements,G,12/11/2009,Anika Noni Rose,Ron Clements,The Walt Disney Company,4,12,0
15,Ponyo,15090400,101,34000000,7.7,Animation,94663,2009,Hayao Miyazaki,G,8/14/2009,Cate Blanchett,Hayao Miyazaki,Studio Ghibli,3,8,0
16,Hannah Montana: The Movie,79566871,102,30000000,4.3,Comedy,34118,2009,Peter Chelsom,G,4/10/2009,Miley Cyrus,Dan Berendsen,It's a Laugh Productions,3,4,0
17,The Tale of Despereaux,50877145,93,60000000,6.1,Animation,32512,2008,Sam Fell,G,12/19/2008,Matthew Broderick,Kate DiCamillo,Universal Pictures,3,12,0
18,High School Musical 3: Senior Year,90559416,112,11000000,4.6,Comedy,47545,2008,Kenny Ortega,G,10/24/2008,Zac Efron,Peter Barsocchini,The Walt Disney Company,3,10,0
19,Kit Kittredge: An American Girl,17655201,101,10000000,6.6,Drama,4988,2008,Patricia Rozema,G,7/2/2008,Abigail Breslin,Ann Peacock,Picturehouse,3,7,0
20,WALL�E,223808164,98,180000000,8.4,Animation,799707,2008,Andrew Stanton,G,6/27/2008,Ben Burtt,Andrew Stanton,FortyFour Studios,4,6,0
21,Horton Hears a Who!,154529439,86,85000000,6.8,Animation,113151,2008,Jimmy Hayward,G,3/14/2008,Jim Carrey,Ken Daurio,Blue Sky Studios,4,3,0
23,Mr. Magorium's Wonder Emporium,32061555,93,65000000,6.2,Comedy,37538,2007,Zach Helm,G,11/16/2007,Natalie Portman,Zach Helm,Mandate Pictures,3,11,0
24,Ratatouille,206445654,111,150000000,8.0,Animation,516560,2007,Brad Bird,G,6/29/2007,Brad Garrett,Brad Bird,Pixar Animation Studios,4,6,0
25,Meet the Robinsons,97822171,95,150000000,6.9,Animation,72807,2007,Stephen J. Anderson,G,3/30/2007,Daniel Hansen,Jon Bernstein,The Walt Disney Company,3,3,0
27,The Santa Clause 3: The Escape Clause,84500122,97,12000000,4.7,Adventure,24317,2006,Michael Lembeck,G,11/3/2006,Tim Allen,Ed Decter,The Walt Disney Company,3,11,0
28,Everyone's Hero,14522427,87,35000000,5.8,Animation,6650,2006,Colin Brady,G,9/15/2006,Jake T. Austin,Robert Kurtz,Arc Productions,3,9,0
29,Cars,244082982,117,120000000,7.1,Animation,292006,2006,John Lasseter,G,6/9/2006,Owen Wilson,John Lasseter,Pixar Animation Studios,4,6,0
30,Vida salvaje,37384046,100,80000000,5.3,Animation,20301,2006,Steve 'Spaz' Williams,G,4/14/2006,Kiefer Sutherland,Ed Decter,C.O.R.E. Feature Animation,3,4,0
31,Curious George,58640119,87,50000000,6.6,Animation,13503,2006,Matthew O'Callaghan,G,2/10/2006,Will Ferrell,Ken Kaufman,Imagine Entertainment,3,2,0
32,Chicken Little,135386665,81,150000000,5.8,Animation,70253,2005,Mark Dindal,G,11/4/2005,Zach Braff,Mark Dindal,The Walt Disney Company,4,11,0
33,The Curse of the Were-Rabbit,56110897,85,30000000,7.5,Animation,105471,2005,Steve Box,G,10/7/2005,Peter Sallis,Steve Box,Aardman Animations,3,10,0
34,Valiant,19447478,76,35000000,5.6,Animation,17195,2005,Gary Chapman,G,8/19/2005,Ewan McGregor,George Webster,Vanguard Animation,3,8,0
35,Herbie Fully Loaded,66023816,101,50000000,4.8,Adventure,38998,2005,Angela Robinson,G,6/22/2005,Lindsay Lohan,Thomas Lennon,The Walt Disney Company,3,6,0
37,The Polar Express,183373735,100,165000000,6.6,Animation,134170,2004,Robert Zemeckis,G,11/10/2004,Tom Hanks,Chris Van Allsburg,Castle Rock Entertainment,4,11,0
38,The Princess Diaries 2: Royal Engagement,95170481,113,40000000,5.7,Comedy,59819,2004,Garry Marshall,G,8/11/2004,Anne Hathaway,Meg Cabot,The Walt Disney Company,3,8,0
39,Tierra de osos,85336277,85,128000000,6.8,Animation,77498,2003,Aaron Blaise,G,10/31/2003,Joaquin Phoenix,Tab Murphy,The Walt Disney Company,3,10,0
40,Finding Nemo,380843261,100,94000000,8.1,Animation,772029,2003,Andrew Stanton,G,5/30/2003,Albert Brooks,Andrew Stanton,Pixar Animation Studios,4,5,0
42,The Jungle Book 2,47887943,72,20000000,5.4,Animation,12558,2003,Steve Trenbirth,G,2/14/2003,John Goodman,Karl Geurs,The Walt Disney Company,3,2,0
44,The Santa Clause 2,139236327,104,65000000,5.6,Comedy,38234,2002,Michael Lembeck,G,11/1/2002,Tim Allen,Don Rhymer,The Walt Disney Company,4,11,0
45,The Country Bears,16988996,88,35000000,4.0,Comedy,4149,2002,Peter Hastings,G,7/26/2002,Haley Joel Osment,Mark Perez,The Walt Disney Company,3,7,0
46,Spirit: Stallion of the Cimarron,73280117,83,80000000,7.1,Animation,50166,2002,Kelly Asbury,G,5/24/2002,Matt Damon,John Fusco,DreamWorks,3,5,0
47,The Rookie,75600072,127,20000000,7.0,Drama,28077,2002,John Lee Hancock,G,3/29/2002,Dennis Quaid,Mike Rich,98 MPH Productions,3,3,0
48,Peter Pan II: Return to Neverland,48430258,72,20000000,5.8,Animation,14642,2002,Robin Budd,G,2/15/2002,Blayne Weaver,Temple Mathews,The Walt Disney Company,3,2,0
49,Jimmy Neutron: Boy Genius,80936232,82,30000000,6.0,Animation,25867,2001,John A. Davis,G,12/21/2001,Debi Derryberry,John A. Davis,Paramount Pictures,3,12,0
50,"Monsters, Inc.",289916256,92,115000000,8.1,Animation,652440,2001,Pete Docter,G,11/2/2001,Billy Crystal,Pete Docter,Pixar Animation Studios,4,11,0
52,The Princess Diaries,108248956,111,26000000,6.3,Comedy,103820,2001,Garry Marshall,G,8/3/2001,Julie Andrews,Meg Cabot,The Walt Disney Company,4,8,0
54,Pok�mon 3: The Movie,17052128,93,16000000,5.7,Animation,10090,2001,Kunihiko Yuyama,G,4/6/2001,Rica Matsumoto,Norman J. Grossfeld,4 Kids Entertainment,3,4,0
55,Recess: School's Out,36696761,82,23000000,6.6,Animation,7522,2001,Chuck Sheetz,G,2/16/2001,Andrew Lawrence,Paul Germain,The Walt Disney Company,3,2,0
56,The Emperor's New Groove,89302687,78,100000000,7.3,Animation,141885,2000,Mark Dindal,G,12/15/2000,David Spade,Chris Williams,The Walt Disney Company,3,12,0
57,102 Dalmatians,66957026,100,85000000,4.8,Adventure,28524,2000,Kevin Lima,G,11/22/2000,Glenn Close,Dodie Smith,Cruella Productions,3,11,0
58,Rugrats in Paris: The Movie,76507756,78,30000000,6.1,Animation,8974,2000,Stig Bergqvist,G,11/17/2000,Christine Cavanaugh,J. David Stem,Paramount Pictures,3,11,0
59,Thomas and the Magic Railroad,15911333,85,19000000,3.7,Adventure,3106,2000,Britt Allcroft,G,7/26/2000,Alec Baldwin,Britt Allcroft,Gullane Pictures,3,7,0
60,Pok�mon: The Movie 2000,43758684,84,30000000,6.0,Animation,16683,2000,Michael Haigney,G,7/21/2000,Rica Matsumoto,Satoshi Tajiri,4 Kids Entertainment,3,7,0
61,Chicken Run,106834564,84,45000000,7.0,Animation,150396,2000,Peter Lord,G,6/23/2000,Mel Gibson,Peter Lord,Aardman Animations,4,6,0
62,Fantasia 2000,60655420,100,80000000,7.2,Animation,29666,2000,James Algar,G,6/16/2000,James Levine,Eric Goldberg,The Walt Disney Company,3,6,0
63,The Tigger Movie,45554533,77,30000000,6.3,Animation,14258,2000,Jun Falkenstein,G,2/11/2000,Jim Cummings,A.A. Milne,The Walt Disney Company,3,2,0
64,Toy Story 2,245852179,92,90000000,7.9,Animation,420432,1999,John Lasseter,G,11/24/1999,Tom Hanks,John Lasseter,Pixar Animation Studios,4,11,0
65,Pok�mon: The First Movie - Mewtwo Strikes Back,85744662,96,30000000,6.0,Animation,32118,1999,Kunihiko Yuyama,G,11/10/1999,Veronica Taylor,Satoshi Tajiri,Oriental Light and Magic (OLM),3,11,0
66,The Straight Story,6203044,112,10000000,8.0,Biography,68583,1999,David Lynch,G,11/3/1999,Richard Farnsworth,John Roach,Asymmetrical Productions,2,11,0
68,The Adventures of Elmo in Grouchland,11634458,73,26000000,5.8,Adventure,2304,1999,Gary Halvorson,G,10/1/1999,Kevin Clash,Mitchell Kriegman,Jim Henson Pictures,3,10,0
69,Muppets from Space,16625807,87,24000000,6.3,Adventure,15619,1999,Tim Hill,G,7/14/1999,Dave Goelz,Jerry Juhl,Jim Henson Pictures,3,7,0
70,Tarzan,171091819,88,130000000,7.2,Animation,160561,1999,Chris Buck,G,6/18/1999,Tony Goldwyn,Tab Murphy,The Walt Disney Company,4,6,0
71,The King and I,11956538,87,25000000,4.1,Animation,3209,1999,Richard Rich,G,3/19/1999,Miranda Richardson,Oscar Hammerstein II,Morgan Creek Productions,3,3,0
72,A Bug's Life,162798565,95,120000000,7.2,Animation,226736,1998,John Lasseter,G,11/25/1998,Kevin Spacey,John Lasseter,Pixar Animation Studios,4,11,0
73,Babe el puerquito va a la ciudad,18319860,97,80000000,5.8,Adventure,26946,1998,George Miller,G,11/25/1998,Magda Szubanski,George Miller,Kennedy Miller Productions,3,11,0
74,The Rugrats Movie,100494675,79,24000000,5.9,Animation,15183,1998,Igor Kovalyov,G,11/20/1998,Elizabeth Daily,David N. Weiss,Paramount Pictures,4,11,0
77,Mulan,120620254,88,90000000,7.6,Animation,193214,1998,Tony Bancroft,G,6/19/1998,Ming-Na Wen,Robert D. San Souci,The Walt Disney Company,4,6,0
78,The Magic Sword: Quest for Camelot,22717758,86,40000000,6.2,Animation,12174,1998,Frederik Du Chau,G,5/15/1998,Jessalyn Gilsig,Vera Chapman,Warner Bros.,3,5,0
79,Barney's Great Adventure,11144518,76,15000000,2.9,Adventure,2827,1998,Steve Gomer,G,4/3/1998,George Hearn,Stephen White,Polygram Filmed Entertainment,3,4,0
80,Anastasia,58406347,94,50000000,7.1,Animation,94409,1997,Don Bluth,G,11/21/1997,Meg Ryan,Susan Gauthier,Twentieth Century Fox Film Corporation,3,11,0
82,Hercules,99046791,93,85000000,7.2,Animation,159637,1997,Ron Clements,G,6/27/1997,Tate Donovan,Ron Clements,The Walt Disney Company,3,6,0
83,Cats Don't Dance,3562749,75,32000000,6.9,Animation,6006,1997,Mark Dindal,G,3/26/1997,Scott Bakula,Mark Dindal,David Kirschner Productions,2,3,0
84,101 Dalmatians,136189294,103,75000000,5.7,Adventure,81872,1996,Stephen Herek,G,11/27/1996,Glenn Close,Dodie Smith,The Walt Disney Company,4,11,0
86,The Adventures of Pinocchio,15094530,90,25000000,5.3,Adventure,4408,1996,Steve Barron,G,7/26/1996,Martin Landau,Sherry Mills,New Line Cinema,3,7,0
87,The Hunchback of Notre Dame,100138851,91,100000000,6.9,Animation,113772,1996,Gary Trousdale,G,6/21/1996,Demi Moore,Tab Murphy,The Walt Disney Company,4,6,0
92,Toy Story,191796233,81,30000000,8.3,Animation,694113,1995,John Lasseter,G,11/22/1995,Tom Hanks,John Lasseter,Pixar Animation Studios,4,11,0
93,The Thief and the Cobbler,669276,72,28000000,7.1,Animation,2780,1995,Richard Williams,G,8/25/1995,Vincent Price,Richard Williams,Richard Williams Productions,1,8,0
94,"Babe, el puerquito valiente",66600000,91,30000000,6.8,Comedy,100541,1995,Chris Noonan,G,8/4/1995,James Cromwell,Dick King-Smith,Universal Pictures,3,8,0
95,Pocahontas,141600000,81,55000000,6.7,Animation,133708,1995,Mike Gabriel,G,6/23/1995,Mel Gibson,Carl Binder,The Walt Disney Company,4,6,0
96,A Little Princess,10019307,97,17000000,7.7,Drama,26945,1995,Alfonso Cuar�n,G,5/19/1995,Liesel Matthews,Frances Hodgson Burnett,Warner Bros.,3,5,0
98,La piedra y el ping�ino,3983912,74,28000000,5.6,Animation,3607,1995,Don Bluth,G,4/12/1995,Martin Short,Rachel Koretsky,Metro-Goldwyn-Mayer (MGM),2,4,0
101,The Pagemaster,13670688,80,27000000,6.0,Animation,17391,1994,Pixote Hunt,G,11/23/1994,Macaulay Culkin,David Kirschner,Twentieth Century Fox Film Corporation,3,11,0
102,The Swan Princess,9771658,100,20000000,6.4,Animation,18972,1994,Richard Rich,G,11/18/1994,Jack Palance,Richard Rich,Nest Family Entertainment,2,11,0
105,The Lion King,312900000,88,45000000,8.5,Animation,723070,1994,Roger Allers,G,6/24/1994,Matthew Broderick,Irene Mecchi,The Walt Disney Company,4,6,0
107,Pulgarcita,11373501,100,28000000,6.4,Animation,12483,1994,Don Bluth,G,3/30/1994,Jodi Benson,Hans Christian Andersen,Don Bluth,3,3,0
109,The Nutcracker,2119994,92,19000000,5.8,Family,1280,1993,Emile Ardolino,G,11/24/1993,Darci Kistler,Susan Cooper,Krasnow Productions,2,11,0
111,The Tom and Jerry Movie,3560469,84,3500000,5.3,Animation,7519,1993,Phil Roman,G,7/30/1993,Richard Kind,Dennis Marks,Turner Pictures (I),2,7,0
112,Once Upon a Forest,6574896,71,13000000,6.5,Animation,4131,1993,Charles Grosvenor,G,6/18/1993,Michael Crawford,Rae Lambert,Hanna-Barbera Productions,2,6,0
115,The Muppet Christmas Carol,27281507,85,12000000,7.7,Comedy,37054,1992,Brian Henson,G,12/11/1992,Michael Caine,Charles Dickens,The Walt Disney Company,3,12,0
116,Aladdin,217350219,90,28000000,8.0,Animation,287068,1992,Ron Clements,G,11/25/1992,Scott Weinger,Ron Clements,The Walt Disney Company,4,11,0
117,Little Nemo: Adventures in Slumberland,1368210,85,35000000,7.2,Family,5800,1992,Masami Hata,G,8/21/1992,Gabriel Damon,Chris Columbus,TMS Entertainment,2,8,0
118,FernGully: Las aventuras de Zak y Crysta,24650296,76,24000000,6.5,Animation,22480,1992,Bill Kroyer,G,4/10/1992,Samantha Mathis,Jim Cox,FAI Films,3,4,0
119,Amigos inseparables,11657385,100,18000000,6.0,Animation,6716,1992,Don Bluth,G,4/3/1992,Glen Campbell,Don Bluth,Goldcrest Films International,3,4,0
120,Beauty and the Beast,218967620,84,25000000,8.0,Animation,344844,1991,Gary Trousdale,G,11/22/1991,Paige O'Hara,Linda Woolverton,The Walt Disney Company,4,11,0
125,The Rescuers Down Under,27931461,100,30000000,6.9,Animation,30141,1990,Hendel Butoy,G,11/16/1990,Bob Newhart,Jim Cox,Silver Screen Partners IV,3,11,0
128,The Little Mermaid,111543479,83,40000000,7.6,Animation,188455,1989,Ron Clements,G,11/17/1989,Jodi Benson,John Musker,The Walt Disney Company,4,11,0
129,All Dogs Go to Heaven,27100027,84,13800000,6.7,Animation,29118,1989,Don Bluth,G,11/17/1989,Dom DeLuise,Don Bluth,Goldcrest Films International,3,11,0
132,Cheetah,8153677,83,5000000,6.1,Adventure,703,1989,Jeff Blyth,G,8/18/1989,Keith Coogan,Alan Caillou,Silver Screen Partners III,2,8,0
133,The Land Before Time,48092846,69,12500000,7.4,Animation,66623,1988,Don Bluth,G,11/18/1988,Pat Hingle,Stu Krieger,Universal Pictures,3,11,0
134,Oliver & Company,74151346,74,31000000,6.7,Animation,35531,1988,George Scribner,G,11/18/1988,Joey Lawrence,Jim Cox,The Walt Disney Company,3,11,0
136,Las travesuras de una pelirojja,3569939,100,5000000,5.9,Family,3474,1988,Ken Annakin,G,7/29/1988,Tami Erin,Astrid Lindgren,Columbia Pictures,2,7,0
142,The Great Mouse Detective,38600000,74,14000000,7.2,Animation,36539,1986,Ron Clements,G,7/2/1986,Vincent Price,Peter Young,The Walt Disney Company,3,7,0
148,Shame,4000304,101,6500000,7.2,Drama,158515,2012,Steve McQueen,NC-17,3/16/2012,Michael Fassbender,Steve McQueen,See-Saw Films,2,3,0
149,"Lust, Caution",4602512,157,15000000,7.6,Drama,32328,2007,Ang Lee,NC-17,10/26/2007,Tony Chiu-Wai Leung,Eileen Chang,Haishang Films,2,10,0
151,Bad Education,5211842,106,5000000,7.5,Crime,48212,2005,Pedro Almod�var,NC-17,2/11/2005,Gael Garc�a Bernal,Pedro Almod�var,StudioCanal,2,2,0
152,A Dirty Shame,1339668,89,15000000,5.1,Comedy,11124,2004,John Waters,NC-17,9/24/2004,Tracey Ullman,John Waters,Fine Line Features,2,9,0
155,Orgazmo,582024,94,1000000,6.2,Comedy,31548,1998,Trey Parker,NC-17,10/23/1998,Trey Parker,Trey Parker,Kuzui Enterprises,1,10,0
156,Two Girls and a Guy,1950218,84,1000000,5.6,Comedy,6203,1998,James Toback,NC-17,4/24/1998,Robert Downey Jr.,James Toback,Fox Searchlight Pictures,2,4,0
158,Crash: Extra�os placeres,2038450,100,9000000,6.4,Drama,44693,1997,David Cronenberg,NC-17,3/21/1997,James Spader,J.G. Ballard,Alliance,2,3,0
159,Showgirls,20302961,128,45000000,4.7,Drama,53325,1995,Paul Verhoeven,NC-17,9/22/1995,Elizabeth Berkley,Joe Eszterhas,Carolco Pictures,3,9,0
163,Bad Lieutenant,2000022,96,1000000,7.1,Crime,31763,1992,Abel Ferrara,NC-17,12/17/1992,Harvey Keitel,Zo� Lund,Bad Lt. Productions,2,12,0
180,Till We Meet Again,13557,105,130000,6.9,Adventure,1248,2016,Bank Tangjaitrong,NIL,11/25/2016,John Matton,John Matton,Changing Film Productions,1,11,0
181,A Street Cat Named Bob,35070,103,8000000,7.4,Biography,16636,2016,Roger Spottiswoode,NIL,11/18/2016,Luke Treadaway,James Bowen,Shooting Script Films,1,11,0
183,The Assassin,613556,105,15000000,6.4,Action,12237,2016,Hsiao-Hsien Hou,NIL,9/30/2016,Qi Shu,Cheng Ah,Central Motion Pictures,1,9,0
192,Beasts of No Nation,83861,137,6000000,7.8,Drama,52905,2015,Cary Fukunaga,NIL,10/16/2015,Abraham Attah,Cary Fukunaga,"Princess Grace Foundation, The",1,10,0
197,Drishyam,739478,163,9400000,8.4,Crime,42547,2015,Nishikant Kamat,NIL,7/31/2015,Ajay Devgn,Jeethu Joseph,Panorama Studios,1,7,0
198,Baahubali: The Beginning,6738000,159,18026148,8.2,Action,81329,2015,S.S. Rajamouli,NIL,7/9/2015,Prabhas,Vijayendra Prasad,Arka Mediaworks,2,7,0
200,Embrace of the Serpent,1329249,125,1400000,7.9,Adventure,13698,2015,Ciro Guerra,NIL,5/25/2015,Nilbio Torres,Ciro Guerra,Buffalo Films,2,5,0
204,The Duke of Burgundy,32630,104,1000000,6.6,Drama,8925,2015,Peter Strickland,NIL,1/23/2015,Sidse Babett Knudsen,Peter Strickland,Rook Films,1,1,0
206,The Babadook,924279,93,2000000,6.8,Drama,141407,2014,Jennifer Kent,NIL,11/28/2014,Essie Davis,Jennifer Kent,Screen Australia,1,11,0
210,Coherence,68877,89,50000,7.2,Mystery,71677,2014,James Ward Byrkit,NIL,8/6/2014,Emily Baldoni,James Ward Byrkit,Bellanova Films,1,8,0
213,Kid Cannabis,5565,110,5000000,6.4,Biography,8218,2014,John Stockwell,NIL,4/18/2014,Jonathan Daniel Brown,John Stockwell,Gordon Bijelonic / Datari Turner Films,1,4,0
216,Better Living Through Chemistry,72273,91,5000000,6.3,Comedy,12284,2014,Geoff Moore,NIL,3/14/2014,Sam Rockwell,Geoff Moore,Occupant Entertainment,1,3,0
219,Upstream Color,444098,96,50000,6.7,Drama,25775,2014,Shane Carruth,NIL,1/3/2014,Amy Seimetz,Shane Carruth,erbp,1,1,0
228,Maniac,20551,89,6000000,6.1,Horror,29681,2013,Franck Khalfoun,NIL,1/2/2013,Elijah Wood,Alexandre Aja,La Petite Reine,1,1,0
229,Talaash,2706375,140,7395080,7.3,Crime,32323,2012,Reema Kagti,NIL,11/30/2012,Aamir Khan,Farhan Akhtar,Aamir Khan Productions,2,11,0
234,Cocktail,1027121,146,7980000,6.2,Comedy,10931,2012,Homi Adajania,NIL,7/13/2012,Saif Ali Khan,Imtiaz Ali,Cocktail Film,2,7,0
235,Poultrygeist: Night of the Chicken Dead,23000,103,500000,6.2,Comedy,6500,2012,Lloyd Kaufman,NIL,7/6/2012,Jason Yachanin,Gabriel Friedman,Poultry Productions LLC,1,7,0
238,Flypaper,1098,87,5000000,6.4,Comedy,28775,2012,Rob Minkoff,NIL,5/25/2012,Patrick Dempsey,Jon Lucas,"Safran Company, The",1,5,0
239,Tiny Furniture,389804,98,65000,6.2,Comedy,12702,2012,Lena Dunham,NIL,3/30/2012,Lena Dunham,Lena Dunham,Tiny Ponies,1,3,0
241,Eating Out,155212,90,50000,5.9,Comedy,5354,2012,Q. Allan Brocka,NIL,2/24/2012,Scott Lunsford,Q. Allan Brocka,Ariztical Entertainment,1,2,0
242,Don 2,3680306,148,16700000,7.1,Action,43225,2011,Farhan Akhtar,NIL,12/23/2011,Shah Rukh Khan,Farhan Akhtar,Excel Entertainment,2,12,0
246,Rockstar,985912,159,10920000,7.6,Drama,29940,2011,Imtiaz Ali,NIL,11/11/2011,Ranbir Kapoor,Imtiaz Ali,Eros International,1,11,0
252,The Snowtown Murders,8012,119,2000000,6.6,Biography,14476,2011,Justin Kurzel,NIL,5/19/2011,Lucas Pittaway,Shaun Grant,Carver Films,1,5,0
253,Hobo with a Shotgun,703002,86,3000000,6.1,Action,39392,2011,Jason Eisener,NIL,5/12/2011,Rutger Hauer,John Davies,Rhombus Media,1,5,0
256,Anticristo,397070,108,11000000,6.6,Drama,96352,2011,Lars von Trier,NIL,3/18/2011,Willem Dafoe,Lars von Trier,Zentropa Entertainments,1,3,0
264,Little White Lies,206088,134,25000000,7.1,Comedy,20148,2010,Guillaume Canet,NIL,10/20/2010,Fran�ois Cluzet,Guillaume Canet,Les Productions du Tr�sor,1,10,0
274,Pontypool,3478,93,1500000,6.7,Fantasy,24539,2009,Bruce McDonald,NIL,9/18/2009,Stephen McHattie,Tony Burgess,Ponty Up Pictures,1,9,0
280,Che: Part One,1731665,134,35000000,7.2,Biography,40064,2009,Steven Soderbergh,NIL,1/24/2009,Julia Ormond,Peter Buchman,Wild Bunch,2,1,1
281,Dead Snow,41709,100,800000,6.3,Comedy,57777,2009,Tommy Wirkola,NIL,1/9/2009,Jeppe Beck Laursen,Tommy Wirkola,Euforia Film,1,1,0
291,Savage Grace,434417,97,4600000,5.9,Drama,9518,2008,Tom Kalin,NIL,1/25/2008,Julianne Moore,Howard A. Rodman,Celluloid Dreams,1,1,0
292,Unknown,144397,85,3700000,6.5,Crime,27012,2007,Simon Brand,NIL,8/31/2007,Jim Caviezel,Matthew Waynee,Rick Lashbrook Films,1,8,0
293,Loving Annabelle,1100000,76,1000000,6.6,Drama,10025,2007,Katherine Brooks,NIL,5/24/2007,Erin Kelly,Katherine Brooks,Big Easy Pictures,2,5,0
294,Another Gay Movie,654132,92,500000,5.0,Comedy,8093,2007,Todd Stephens,NIL,5/3/2007,Michael Carbonaro,Tim Kaltenecker,Luna Pictures,1,5,0
300,Manderlay,78378,139,14200000,7.4,Drama,19714,2006,Lars von Trier,NIL,11/24/2006,Bryce Dallas Howard,Lars von Trier,Zentropa Entertainments,1,11,0
302,Shortbus,1985292,101,2000000,6.5,Drama,28807,2006,John Cameron Mitchell,NIL,10/20/2006,Sook-Yin Lee,John Cameron Mitchell,THINKFilm,2,10,0
308,Where the Truth Lies,871527,107,25000000,6.5,Crime,15631,2005,Atom Egoyan,NIL,10/7/2005,Kevin Bacon,Atom Egoyan,Serendipity Point Films,1,10,0
310,Russian Dolls,323331,125,12500000,7.0,Comedy,17470,2005,C�dric Klapisch,NIL,6/15/2005,Romain Duris,C�dric Klapisch,Lunar Films,1,6,0
317,Veer-Zaara,2921738,192,7000000,7.9,Drama,39916,2004,Yash Chopra,NIL,11/12/2004,Shah Rukh Khan,Aditya Chopra,Yash Raj Films,2,11,0
321,Zero Day,7221,92,20000,7.3,Drama,3594,2004,Ben Coccio,NIL,1/23/2004,Cal Robertson,Ben Coccio,Professor Bright Films,1,1,0
324,The Brown Bunny,365734,93,10000000,5.0,Drama,12152,2003,Vincent Gallo,NIL,11/14/2003,Vincent Gallo,Vincent Gallo,Gray Daisy Films,1,11,0
331,Memories of Murder,14131,131,2800000,8.1,Crime,80301,2003,Joon-ho Bong,NIL,5/2/2003,Kang-ho Song,Joon-ho Bong,CJ Entertainment,1,5,0
339,George Washington,241816,89,42000,7.4,Drama,6692,2001,David Gordon Green,NIL,9/28/2001,Candace Evanofski,David Gordon Green,Free Country U.S.A.,1,9,0
346,Feroz,2554,108,5000000,6.8,Drama,35413,2001,John Fawcett,NIL,5/18/2001,Emily Perkins,Karen Walton,Copperheart Entertainment,1,5,0
359,Fiza,623791,170,1000000,6.1,Action,3131,2000,Khalid Mohamed,NIL,9/8/2000,Jaya Bhaduri,Khalid Mohamed,"Culture Company, The",1,9,0
362,The Isle,21075,90,1000000,7.1,Drama,10866,2000,Ki-duk Kim,NIL,4/22/2000,Jung Suh,Ki-duk Kim,Myung Film Company Ltd.,1,4,1
363,Edge of Seventeen,870751,99,700000,6.8,Comedy,4954,2000,David Moreton,NIL,4/20/2000,Chris Stafford,Todd Stephens,Blue Streak Films,1,4,0
369,Ratcatcher,216781,94,30000,7.5,Drama,6648,1999,Lynne Ramsay,NIL,11/12/1999,Tommy Flanagan,Lynne Ramsay,Path� Pictures International,1,11,0
384,Happiness,2807390,134,3000000,7.8,Comedy,58551,1998,Todd Solondz,NIL,10/16/1998,Jane Adams,Todd Solondz,Good Machine,2,10,0
389,Maadadayo,48856,134,11900000,7.4,Drama,4081,1998,Akira Kurosawa,NIL,3/20/1998,Tatsuo Matsumura,Akira Kurosawa,DENTSU Music And Entertainment,1,3,0
396,Twin Town,74188,99,3300000,6.7,Comedy,4995,1997,Kevin Allen,NIL,5/9/1997,Llyr Ifans,Kevin Allen,Agenda,1,5,0
405,Pushing Hands,152322,105,400000,7.3,Comedy,2826,1996,Ang Lee,NIL,1/20/1996,Bozhao Wang,Ang Lee,Ang Lee Productions,1,1,1
